,DMA_AREA,GTBible,GTQuran,GTCatholic_Church,GTMosque,GTChristianity,GTMuslim,cbsatitle,GSSProtestantRate,GSSCatholicRate,GSSJewishRate,GSSBuddaismRate,GSSMuslimRate,GSS_AREA_from_Amy,DMA_CO,CBSA_CODE
69,El Paso TX,96.0,4.0,91.0,9.0,84.0,16.0,,,,,,,,,
70,Elmira NY,96.33333333333331,3.6666666666666665,88.33333333333331,11.666666666666664,82.0,18.0,,,,,,,,,
71,Erie PA,95.0,5.0,89.0,11.0,79.0,21.0,,,,,,,,,
72,Eugene OR,96.0,4.0,84.33333333333333,15.666666666666664,80.0,20.0,1215.0,0.641025641,0.076923077,0.019230768999999998,0.0,0.0,"Eugene, OR",62.0,21660.0
73,Eureka CA,95.33333333333331,4.666666666666667,83.33333333333333,16.666666666666668,77.0,23.0,,,,,,,,,
74,Evansville IN,98.0,2.0,92.0,8.0,85.0,15.0,1218.0,0.6785714290000001,0.20535714300000002,0.0,0.0,0.0,"Evansville, IN-KY",64.0,21780.0
75,Fairbanks AK,98.0,2.0,87.0,13.0,82.0,18.0,,,,,,,,,
76,Fargo-Valley City ND,92.0,8.0,89.0,11.0,76.0,24.0,,,,,,,,,
77,Flint-Saginaw-Bay City MI,96.0,4.0,89.0,11.0,80.0,20.0,1010.0,0.592105263,0.289473684,0.0,0.0,0.0,"Bay City, MI",67.0,13020.0
78,Flint-Saginaw-Bay City MI,96.0,4.0,89.0,11.0,80.0,20.0,1234.0,0.694214876,0.23966942100000002,0.0,0.0,0.0,"Flint, MI",67.0,22420.0
79,Flint-Saginaw-Bay City MI,96.0,4.0,89.0,11.0,80.0,20.0,1679.0,0.650485437,0.27184466,0.009708738,0.0,0.0,"Saginaw, MI",67.0,40980.0
80,Florence-Myrtle Beach SC,98.0,2.0,86.0,14.0,85.0,15.0,1531.0,0.7894736840000001,0.11842105300000001,0.0,0.0,0.0,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",68.0,34820.0
81,Fresno-Visalia CA,96.0,4.0,87.0,13.0,82.0,18.0,1256.0,0.519337017,0.284530387,0.011049723999999999,0.0027624309999999997,0.0027624309999999997,"Fresno, CA",69.0,23420.0
82,Ft. Myers-Naples FL,98.0,2.0,91.0,9.0,83.0,17.0,,,,,,,,,
