DateStart,DateEnd,Interval Days,GeoName,Keyword1_/m/01lp8,Keyword2_/m/04y29
2012-01-01,2018-12-31,2557,San Francisco-Oakland-San Jose CA,71,29
2012-01-01,2018-12-31,2557,Santa Barbara-Santa Maria-San Luis Obispo CA,82,18
2012-01-01,2018-12-31,2557,Savannah GA,83,17
2012-01-01,2018-12-31,2557,Seattle-Tacoma WA,77,23
2012-01-01,2018-12-31,2557,Sherman TX-Ada OK,85,15
2012-01-01,2018-12-31,2557,Shreveport LA,87,13
2012-01-01,2018-12-31,2557,Sioux City IA,87,13
2012-01-01,2018-12-31,2557,Sioux Falls(Mitchell) SD,85,15
2012-01-01,2018-12-31,2557,South Bend-Elkhart IN,86,14
2012-01-01,2018-12-31,2557,Spokane WA,84,16
2012-01-01,2018-12-31,2557,Springfield MO,88,12
2012-01-01,2018-12-31,2557,Springfield-Holyoke MA,77,23
2012-01-01,2018-12-31,2557,St. Joseph MO,85,15
2012-01-01,2018-12-31,2557,St. Louis MO,80,20
2012-01-01,2018-12-31,2557,Syracuse NY,72,28
2012-01-01,2018-12-31,2557,Tallahassee FL-Thomasville GA,84,16
2012-01-01,2018-12-31,2557,Tampa-St. Petersburg (Sarasota) FL,82,18
2012-01-01,2018-12-31,2557,Terre Haute IN,86,14
2012-01-01,2018-12-31,2557,Toledo OH,79,21
2012-01-01,2018-12-31,2557,Topeka KS,84,16
2012-01-01,2018-12-31,2557,Traverse City-Cadillac MI,82,18
2012-01-01,2018-12-31,2557,Tri-Cities TN-VA,88,12
2012-01-01,2018-12-31,2557,Tucson (Sierra Vista) AZ,80,20
2012-01-01,2018-12-31,2557,Tulsa OK,75,25
2012-01-01,2018-12-31,2557,Twin Falls ID,80,20
2012-01-01,2018-12-31,2557,Tyler-Longview(Lufkin & Nacogdoches) TX,88,12
2012-01-01,2018-12-31,2557,Utica NY,69,31
2012-01-01,2018-12-31,2557,Victoria TX,87,13
2012-01-01,2018-12-31,2557,Waco-Temple-Bryan TX,86,14
2012-01-01,2018-12-31,2557,Washington DC (Hagerstown MD),72,28
2012-01-01,2018-12-31,2557,Watertown NY,76,24
2012-01-01,2018-12-31,2557,Wausau-Rhinelander WI,84,16
2012-01-01,2018-12-31,2557,West Palm Beach-Ft. Pierce FL,82,18
2012-01-01,2018-12-31,2557,Wheeling WV-Steubenville OH,83,17
2012-01-01,2018-12-31,2557,Wichita Falls TX & Lawton OK,87,13
2012-01-01,2018-12-31,2557,Wichita-Hutchinson KS,86,14
2012-01-01,2018-12-31,2557,Wilkes Barre-Scranton PA,78,22
2012-01-01,2018-12-31,2557,Wilmington NC,83,17
2012-01-01,2018-12-31,2557,Yakima-Pasco-Richland-Kennewick WA,85,15
2012-01-01,2018-12-31,2557,Youngstown OH,83,17
2012-01-01,2018-12-31,2557,Yuma AZ-El Centro CA,89,11
2012-01-01,2018-12-31,2557,Zanesville OH,84,16
